NIR_iPPG,SPG
-0.00021280447447167143,8.242795390550732e-05
-0.00016481588214345967,-0.0003176373388369099
-0.00013818197530550522,-0.0007200583556223525
-0.00013290275395780806,-0.0011248350964508207
-0.00014897821810036825,-0.0015319675613223143
-0.00018640836773318575,-0.0019414557502368333
-0.00024519320285625994,-0.0023532996631943697
-0.00032113907661930163,-0.0027808837330599713
-0.0004219932556552092,-0.003211041483354172
-0.0005477829066967274,-0.003637926739216546
-0.0006974917456631808,-0.004054371661130126
-0.0008690782941880516,-0.004452416901670056
-0.0010595299008595664,-0.004823920450298041
-0.0012649526218917236,-0.0051611943504186585
-0.0014806963188364478,-0.005457617568098948
-0.001701512862502913,-0.005708176601759993
-0.001921743231137489,-0.00590989240371647
-0.002135526883215479,-0.006062102015581548
-0.0023370244835596242,-0.006166575151613828
-0.002520643216135877,-0.0062274590083050444
-0.0026812527871371045,-0.0062510579596947525
-0.0028143800458951774,-0.006245467392658049
-0.002916371136764607,-0.006220091441177219
-0.0029845122651707703,-0.0061850816471760205
-0.0030171032246311767,-0.006150737005445243
-0.003013481298639482,-0.006126905480213933
-0.0029739966184945043,-0.006122423356028311
-0.0028999433379798107,-0.006144622355553865
-0.002793453956060712,-0.006198926238052571
-0.0026573665518471257,-0.006288549840334586
-0.002495076285912356,-0.006414305594294187
-0.0023103830010043278,-0.006574516467268347
-0.002107345959575099,-0.006765030426410693
-0.0018901546968033535,-0.006979329725002202
-0.0016630219216350276,-0.007208727850969101
-0.0014301008564461305,-0.007442646894371256
-0.0011954258851457785,-0.007668967534074216
-0.0009628723220898761,-0.007874442396603594
-0.0007361289420958659,-0.008045161209886582
-0.0005186760205233269,-0.008167053289012674
-0.00031376223401450383,-0.008226410057273419
-0.00012437576157811877,-0.008210408279714507
4.679212629677869e-05,-0.008107614078666602
0.00019738948713848603,-0.007908448833553548
0.0003254479656200488,-0.007605600550533555
0.0004294232566418049,-0.007194367670958194
0.000508226042312182,-0.006672925711915629
0.0005612386553804907,-0.0060425097157339154
0.0005883143428031958,-0.005307506851621052
0.0005897579326327099,-0.004475454052644584
0.0005662886928355499,-0.0035569361415239056
0.0005189879466636211,-0.0025653812956835127
0.0004492353349076309,-0.0015167533666448569
0.000358638351789002,-0.0004291445646968753
0.0002489599390991252,0.000677722912654233
0.0001220486989728928,0.0017830720916866562
-2.022400984915036e-05,0.002865703446946608
-0.00017601601026211904,0.003904659364865964
-0.0003435513965839438,0.004879892503812716
-0.0005211394412430516,0.005772908216346596
-0.0007071731277169645,0.006567352083373673
-0.0009001068265965317,0.007249516549502994
-0.0010984146141810231,0.007808744973884484
-0.0013005326383267344,0.00823771659591163
-0.00150479056118759,0.0085326017924922
-0.001709338406305074,0.00869308353116523
-0.0019120760148566762,0.008722247842071738
-0.002110592541240708,0.008626352869763015
-0.0023021228191883866,0.008414491908635819
-0.0024835261142123043,0.008098170220024481
-0.0026512910840268654,0.007690818222602322
-0.0028015690309558124,0.007207264990179575
-0.002930235933190792,0.006663195976859743
-0.0030329823075710806,0.006074617440086732
-0.0031054286193533676,0.005457347184984863
-0.0031432627160920233,0.004826547480838863
-0.0031423947758196027,0.0041963121582020615
-0.003099124627359442,0.0035793167833643807
-0.0030103158393968306,0.002986538710501224
-0.002873570366194797,0.002427052403211835
-0.002687396706686197,0.001907904045988111
-0.002451363741625979,0.0014340675777130842
-0.002166231992965189,0.001008481677734787
-0.001834054151414816,0.0006321640435290127
-0.0014582373147560138,0.00030439577435357454
-0.0010435604154956854,2.296513580486646e-05
-0.0005961417998849468,-0.00021554318782243253
-0.0001233538913893805,-0.00041542965748539635
0.0003663157037981799,-0.0005815499440303263
0.0008634546137725069,-0.0007189914214090098
0.0013579629933001785,-0.0008327731763559862
0.0018393307484699086,-0.0009275848814255225
0.0022969458020141225,-0.0010075775068896125
0.002720422782594686,-0.001076216061329148
0.003099939953354161,-0.0011362012940423914
0.003426570902586778,-0.0011894632529034716
0.0036925967238157914,-0.0012372245844714121
0.003891784290869679,-0.0012801257771834214
0.004019616878032279,-0.0013183988865715088
0.004073464840699158,-0.0013520714467773081
0.004052686389302104,-0.00138117892632535
0.003958651608633766,-0.0014059626948922644
0.0037946866266122393,-0.0014270313585514995
0.0035659389840465732,-0.0014454667056598347
0.0032791695667489682,-0.001462861361640372
0.002942480707622171,-0.0014812830619471517
0.002564993987401839,-0.0015031690828993366
0.0021564945295241616,-0.0015311623951529785
0.0017270608447881493,-0.001567907377992388
0.0012867002731515504,-0.0016158268018236378
0.0008450096727301895,-0.001676902921900177
0.00041087918321768273,-0.001752483869114902
-7.746335947644652e-06,-0.001843132452559983
-0.00040403806632320063,-0.0019485288439829726
-0.0007723814110370727,-0.0020674324561343565
-0.0011084024524492535,-0.0021977026543320653
-0.0014089287853673385,-0.0023363734970171884
-0.001671895071465692,-0.002479774795235038
-0.0018962065693587681,-0.0026236901780450983
-0.0020815754158475773,-0.0027635419435127198
-0.0022283447112196567,-0.0028945916967446014
-0.0023373147047270186,-0.003012144955891538
-0.0024095838044328054,-0.003111747362614297
-0.0024464149618648717,-0.0031893604474290574
-0.002449135377165343,-0.0032415064540611445
-0.0024190745203499643,-0.003265374398107839
-0.002357542186219184,-0.0032588828900123826
-0.0022658447514509682,-0.0032206989583252912
-0.002145334207188525,-0.003150216016263114
-0.0019974813041547658,-0.0030474979205377534
-0.0018239617341490057,-0.002913199070903486
-0.0016267430682573671,-0.0027484718425836185
-0.0014081603995249898,-0.0025548719059716096
-0.0011709702820675834,-0.00233426948345289
-0.0009183753279484484,-0.0020887711894559784
-0.000654015207307121,-0.0018206537347209104
-0.0003819232297570702,-0.0015323080759894014
-0.00010645069136669627,-0.0012261908300279726
0.00016783657219744991,-0.0009047790303380006
0.0004362836049810607,-0.0005705245942091347
0.0006942872527052969,-0.0002258061029709716
0.0009374458401214508,0.00012712256848842075
0.001161710609035321,0.0004861850402975128
0.0013635316178685648,0.0008495329224416967
0.0015399906235486964,0.0012155888425644992
0.0016889136859572754,0.0015830759517364151
0.0018089570401065484,0.001951027503095918
0.0018996611859577418,0.002318770222607355
0.0019614700117251103,0.00268587578085171
0.0019957138815871215,0.003052075889057165
0.0020045577700188305,0.0034171387638478852
0.0019909174890307448,0.003780708311206027
0.0019583485395118752,0.004142112361202936
0.001910912841126863,0.0045001520947625774
0.001853028547186878,0.004852890528001501
0.00178930772454703,0.005197462464857709
0.0017243864045444891,0.005529930554664957
0.0016627516632879914,0.0058452111219728375
0.001608570866714041,0.006137089050075919
0.0015655287207200338,0.0063983337040263
0.0015366780721140583,0.006620918632352901
0.0015243105174389305,0.006796337720335201
0.001529852955646051,0.0069160007554564615
0.001553796302392019,0.006971683103098291
0.001595662387359005,0.006955998226151587
0.0016540141515917813,0.0068628586538642955
0.001726512431603312,0.006687890979521709
0.0018100199952728168,0.006428773487618529
0.0019007503888881908,0.006085470635501668
0.0019944558336917025,0.0056603461929474455
0.002086645069084267,0.00515814580616464
0.0021728189039191743,0.004585849613529988
0.0022487086903437096,0.003952405654666684
0.0023105015179155346,0.003268364260826628
0.0023550360995400425,0.0025454413245129624
0.0023799551543619165,0.001796043340091077
0.0023838032461857106,0.0010327887314409293
0.0023660630652403898,0.00026805812572533563
0.002327127734133082,-0.0004863986107031413
0.0022682116389892873,-0.001219777722015937
0.0021912072175797326,-0.001922446669989882
0.002098499626329616,-0.002586075117417869
0.0019927547203383105,-0.0032036763925962454
0.0018766978291092588,-0.0037695713523295026
0.0017529011413113136,-0.004279291864116023
0.0016235961883663721,-0.004729443962309372
0.00149052524539114,-0.005117551193089409
0.0013548418568509277,-0.005441897315052256
0.0012170665629109485,-0.005701385028796122
0.0010770996369457845,-0.005895424104316054
0.0009342885427425507,-0.006023858109916813
0.0007875440724842359,-0.006086933911407138
0.0006354958785880227,-0.006085312656567263
0.0004766755141379322,-0.006020115893990381
0.00030971328117112846,-0.005892996498128411
0.00013353424025235229,-0.005706221511175298
-5.2461291670934026e-05,-0.005462752892579119
-0.00024824649952214124,-0.005166312387245347
-0.00045305792316953516,-0.0048214181834718775
-0.0006653354176451053,-0.004433383667192614
-0.0008827177145840359,-0.004008272260604012
-0.0011020952566394933,-0.0035528066861156083
-0.0013197182365048822,-0.0030742353625502106
-0.0015313543376904498,-0.002580162315431956
-0.001732487591296976,-0.0020783495300336656
-0.0019185470232612979,-0.001576502020668787
-0.0020851514445543113,-0.0010820462070796051
-0.002228355044336206,-0.0006019117366651856
-0.002344877692734502,-0.00014232586907568818
-0.0024323043431465343,0.00029137193946478067
-0.0024892397889527498,0.0006948893736557842
-0.0025154081909424548,0.0010651102599176015
-0.0025116909640667193,0.0014001898553014744
-0.0024801013694364465,0.001699612826292009
-0.002423698964472858,0.0019642092873286008
-0.0023464513371005504,0.0021961233346958777
-0.0022530537812444585,0.002398728613205894
-0.0021487194513322345,0.002576487050818893
-0.0020389530097834722,0.00273474992124089
-0.0019293200454800956,0.0028795044921150316
-0.0018252229703120278,0.0030170742518489625
-0.001731692151515681,0.0031537855739598468
-0.0016531990935442329,0.003295617993238768
-0.0015934967392984755,0.0034478581785164567
-0.0015554904344664863,0.0036147784015950514
-0.001541141730846479,0.003799358542066868
-0.001551405944788556,0.004003066986158672
-0.0015862032463450628,0.00422571128802168
-0.0016444221234352446,0.004465365129256744
-0.0017239534722527663,0.004718374349805549
-0.001821753384458942,0.004979441660685164
-0.0019339328732170462,0.0052417870159711475
-0.0020558731106669987,0.005497378393909587
-0.0021823649809399773,0.00573722568429719
-0.00230777164540393,0.005951728217615142
-0.002426212224534093,0.006131063988612798
-0.0025317636107488745,0.006265605794046909
-0.0026186759317440387,0.00634634662886157
-0.0026815954181944896,0.0063653144802103415
-0.0027157865351339033,0.006315955897326503
-0.002717343401772092,0.006193468671281163
-0.00268337904252929,0.0059950663154278395
-0.0026121802469180246,0.005720160320233896
-0.0025033160765712014,0.005370450041357116
-0.002357689489042189,0.004949914321401526
-0.002177524121902469,0.004464703293905203
-0.001966281867709246,0.003922933126131489
-0.0017285113170876255,0.0033343907319483288
-0.0014696322731260827,0.0027101597565860496
-0.001195667002158508,0.0020621833703908863
-0.0009129340069725493,0.0014027835490662843
-0.0006277239535099277,0.0007441603725408465
-0.00034597917679650544,9.789792999097659e-05
-7.299771949196767e-05,-0.0005254950820736441
0.00018681954121226973,-0.0011169827064178026
0.0004301638279940369,-0.0016693129559486805
0.0006549449839414156,-0.0021772247323433138
0.0008603436372619786,-0.002637540224059165
0.0010467874354054875,-0.0030491417933265234
0.00121585379667779,-0.003412841621343623
0.0013701052005479465,-0.0037311605237503533
0.001512866152425196,-0.00400803844013709
0.0016479537518475972,-0.004248502400184583
0.0017793764366114844,-0.004458317789360221
0.001911017940388567,-0.004643645563524319
0.002046325443620596,-0.004810722536902224
0.0021880217737443677,-0.004965575342102328
0.002337860823220746,-0.005113772517117067
0.0024964428909201226,-0.005260214476538811
0.0026631026132515846,-0.005408958465355007
0.0028358770710097134,-0.005563075069686829
0.0030115561800310845,-0.0057245341865862
0.0031858121189075267,-0.005894121059268725
0.0033533996145226415,-0.006071386366772553
0.003508414574399636,-0.006254637309517542
0.0036445950643136478,-0.0064409778574117255
0.0037556463023005375,-0.006626405029842439
0.003835570380988396,-0.006805964377744764
0.0038789817673885417,-0.006973962528869597
0.0038813910064476173,-0.007124228753645871
0.0038394412533012947,-0.0072504120188310265
0.0037510852014926224,-0.007346295815932358
0.0036156936459486267,-0.007406110832813
0.0034340912253011517,-0.007424825619636223
0.0032085195574843624,-0.0073983978203115575
0.0029425325955878723,-0.0073239729007980175
0.002640833162189247,-0.007200022625766682
0.0023090629708224166,-0.007026420547616004
0.0019535608387090016,-0.00680445557105425
0.0015811050842111812,-0.006536787028074377
0.0011986560949238552,-0.006227345927888869
0.0008131135963561293,-0.00588118761860099
0.0004311003187423007,-0.00550430152708026
5.8779966268702415e-05,-0.005103384357129677
-0.0002982866851741754,-0.004685584352327197
-0.0006352473868086335,-0.004258225979350283
-0.0009480282139661307,-0.003828526491971903
-0.0012333715043368848,-0.0034033179045976133
-0.0014888461675262217,-0.002988789268191253
-0.001712834076239148,-0.0025902640593486797
-0.0019044953588259377,-0.0022120255556542933
-0.002063714553967631,-0.0018571994123157166
-0.0021910291182723144,-0.001527697864654547
-0.0022875419739167716,-0.0012242248738252516
-0.002354820719397345,-0.000946336894667609
-0.0023947875700117385,-0.0006925503450087681
-0.0024096055629772347,-0.0004604846392131332
-0.002401567514589691,-0.0002470290052644658
-0.002372994260971369,-4.852222973318157e-05
-0.002326147737656017,0.00013906341829832863
-0.0022631626541013508,0.00031994040356741186
-0.0021859983019028033,0.0004983308636005245
-0.0020964098426510896,0.0006783024022976709
-0.0019959366405234488,0.0008636195501124195
-0.0018859041476979427,0.0010576167638365363
-0.001767435677450026,0.0012630993631868369
-0.0016414710008202812,0.0014822780930099171
-0.0015087897027709798,0.001716740756457972
-0.0013700381758188001,0.0019674606585257906
-0.001225759702096148,0.002234836855372972
-0.0010764272118372956,0.0025187562411748505
-0.0009224781254980183,0.0028186635267016254
-0.0007643503732647247,0.003133623523810764
-0.0006025184049940587,0.003462361776936513
-0.00043752786471191747,0.003803274404155442
-0.0002700276520866459,0.004154404901142005
-0.00010079830097812776,0.004513392979473152
6.922415513672969e-05,0.004877406741530248
0.00023892961760988443,0.005243073609376309
0.000407021821432681,0.005606426925488867
0.0005720146862310716,0.005962883945783526
0.000732240069837909,0.0063072672799476155
0.000885870417820918,0.006633876235231349
0.001030959382989283,0.006936607903558207
0.0011655018855589241,0.007209121480929944
0.0012875125264402592,0.007445034509825138
0.0013951182933668515,0.007638137236263486
0.0014866587009260144,0.007782611092250492
0.0015607843472438794,0.00787323900675828
0.001616543696103191,0.007905598167292948
0.0016534480064344227,0.007876229178429355
0.0016715059720583923,0.007782778333199196
0.0016712227869795761,0.007624111103832522
0.001653562562400017,0.007400394666434915
0.0016198774880019616,0.0071131456920041644
0.0015718110450543147,0.006765237726320088
0.0015111854405835525,0.006360861460528108
0.0014398850539659072,0.005905432083814726
0.0013597480005747523,0.005405441100549458
0.0012724768528541894,0.004868255117717158
0.001179577112312444,0.004301870234044731
0.0010823283701984797,0.0037146365735208414
0.0009817886523736294,0.0031149719411225603
0.0008788278806849952,0.002511085509023815
0.0007741824755686246,0.0019107313752761686
0.000668520529866402,0.0013210079678142076
0.0005625060801688052,0.0007482133607851259
0.00045685187327397064,0.00019775973550875176
0.00035235247260282835,-0.0003258562969171688
0.00024989309037798006,-0.0008190358742848149
0.0001504334979134579,-0.0012790239261035606
5.4970087893354606e-05,-0.0017038312974949781
-3.5517917944458386e-05,-0.002092144178589865
-0.00012013041753850432,-0.0024432296664783056
-0.00019810853786382925,-0.0027568430562615077
-0.0002688898769662334,-0.00303313915943616
-0.000332151642463929,-0.0032725874479356005
-0.0003878385448521178,-0.0034758898225009864
-0.00043617429931093124,-0.003643900561709266
-0.00047765725433825427,-0.0037775501491978756
-0.0005130419220774968,-0.003877777229990176
-0.0005433090751287706,-0.003945474757359036
-0.000569627680723899,-0.003981456693705587
-0.0005933123189684733,-0.0039864502604762195
-0.0006157798787066322,-0.0039611159627943714
-0.000638509174557202,-0.0039060939980200106
-0.000663006540539874,-0.0038220719776427105
-0.0006907792973384137,-0.00370986598489341
-0.0007233172950370276,-0.0035705054884838565
-0.0007620807866610382,-0.0034053128175919063
-0.0008084911317392406,-0.003215969644188539
-0.0008639196606037966,-0.00300456562006912
-0.000929669672382613,-0.002773627041271804
-0.0010069470507075061,-0.002526125341361487
-0.0010968163383870324,-0.002265466089738631
-0.0012001412477014124,-0.001995459271415168
-0.0013175112912809338,-0.0017202714013271564
-0.001449159053748778,-0.0014443598474172957
-0.0015948749821366754,-0.001172389823073266
-0.0017539279419977534,-0.0009091348931905425
-0.0019249999544145874,-0.0006593623769457705
-0.0021061425974612056,-0.0004277055720370004
-0.002294760797448721,-0.00021852527725868364
-0.0024876274687577367,-3.576375601815634e-05
-0.0026809300242346843,0.00011720495079389125
-0.002870347529322207,0.0002377237202320854
-0.003051155533056716,0.00032399474823285336
-0.003218354568323414,0.00037520970325053554
-0.0033668179648296747,0.000391661095812062
-0.0034914547524199447,0.0003748280483371046
-0.003587383709339062,0.00032742990359556975
-0.0036501146653772657,0.0002534419453517831
-0.0036757327193805587,0.00015806876863039398
-0.0036610799602160926,4.767219756153097e-05
-0.003603927710850567,-7.034828252951194e-05
-0.0035031306182900877,-0.0001877239198221019
-0.003358752639484702,-0.00029553443580843195
-0.003172154677330013,-0.00038447388512711383
-0.0029460346365043815,-0.00044516037630637365
-0.002684413006682462,-0.0004684814168537079
-0.002392560472303315,-0.0004459624538511085
-0.0020768680289116044,-0.0003701424563153562
-0.0017446640509128745,-0.00023493764824259914
-0.0014039860578673922,-3.597319667335238e-05
-0.001063317071412699,0.00022913679974885905
-0.0007312973030388847,0.0005605779915741885
-0.00041642174593570637,0.0009562052904802151
-0.00012673361834762735,0.0014114990560235032
0.00013047693588876457,0.0019196072182548702
0.00034895967240340686,0.002471467110544772
0.0005237672875701375,0.003055997182994895
0.0006514852357081314,0.003660347151747216
0.0007304188708231693,0.004270195362338459
0.0007607285862057041,0.004870084015698589
